id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,is_canceled
30,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2018,12,8,Online,0,0,0,108.67,0,0
31,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Complementary,0,0,0,3,0,0
32,2,0,2,0,Meal Plan 1,0,Room_Type 1,34,2018,5,22,Online,0,0,0,108.9,1,0
33,2,0,0,2,Meal Plan 1,0,Room_Type 6,47,2018,11,25,Online,0,0,0,156.6,2,0
34,1,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,120,1,0
35,1,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,2,23,Online,0,0,0,1,0,0
36,2,0,2,2,Meal Plan 1,0,Room_Type 4,95,2018,5,20,Online,0,0,0,132.6,0,0
37,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110,0,0
38,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,0
39,2,0,1,5,Meal Plan 1,0,Room_Type 4,60,2018,9,5,Online,0,0,0,101.99,1,0
40,2,0,0,4,Meal Plan 1,0,Room_Type 1,110,2017,12,9,Offline,0,0,0,70,0,0
41,2,1,0,1,Meal Plan 1,0,Room_Type 1,1,2018,8,17,Online,0,0,0,109.8,0,0
42,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,4,23,Online,0,0,0,97.32,0,0
43,2,0,1,3,Not Selected,0,Room_Type 1,15,2018,12,29,Online,0,0,0,102,2,0
44,3,0,2,1,Meal Plan 1,0,Room_Type 1,35,2018,4,17,Online,0,0,0,101.41,2,0
45,2,0,0,1,Not Selected,0,Room_Type 1,23,2018,4,8,Online,0,0,0,98,0,0
46,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,0
47,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,2017,10,16,Offline,0,0,0,70,0,1
48,2,0,2,3,Meal Plan 1,0,Room_Type 1,212,2018,5,20,Offline,0,0,0,78,0,1
49,2,0,0,3,Not Selected,0,Room_Type 1,48,2018,3,2,Online,0,0,0,73.1,1,1
50,2,0,0,4,Meal Plan 1,0,Room_Type 1,175,2018,8,2,Online,0,0,0,99.45,1,0
51,2,0,0,1,Meal Plan 1,0,Room_Type 1,43,2018,12,27,Online,0,0,0,74.88,0,0
52,2,2,0,2,Meal Plan 1,0,Room_Type 1,155,2018,8,16,Online,0,0,0,130.5,0,1
53,2,0,0,1,Not Selected,0,Room_Type 1,29,2018,3,18,Online,0,0,0,79,0,0
54,2,0,1,0,Not Selected,0,Room_Type 1,102,2018,10,9,Online,0,0,0,108,1,0
55,1,0,0,1,Meal Plan 1,0,Room_Type 1,23,2018,11,11,Online,0,0,0,112,2,0
56,1,0,0,2,Meal Plan 1,0,Room_Type 1,46,2018,11,18,Online,0,0,0,89.2,1,0
57,2,0,0,2,Meal Plan 2,0,Room_Type 1,286,2018,9,16,Online,0,0,0,117,0,1
58,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,101.5,0,1
59,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,109,0,1
60,3,0,2,3,Meal Plan 1,0,Room_Type 4,132,2018,9,9,Online,0,0,0,162,0,1
61,2,0,2,3,Meal Plan 1,0,Room_Type 4,47,2018,10,16,Online,0,0,0,97.82,1,0
62,2,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,70,1,0
63,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Online,0,0,0,62.8,0,1
64,2,0,0,3,Not Selected,0,Room_Type 1,194,2018,4,21,Online,0,0,0,73.46,0,1
65,2,0,1,0,Meal Plan 1,0,Room_Type 1,20,2018,1,10,Corporate,0,0,0,76,0,0
66,2,0,0,2,Meal Plan 1,0,Room_Type 1,35,2018,6,21,Online,0,0,0,113.4,1,0
67,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,140,0,0
68,2,0,0,4,Meal Plan 1,0,Room_Type 4,5,2017,11,10,Online,0,0,0,76.58,1,0
69,2,0,2,2,Meal Plan 1,0,Room_Type 2,46,2018,3,18,Offline,0,0,0,74.8,0,0
70,2,2,1,2,Meal Plan 1,0,Room_Type 6,96,2018,10,28,Online,0,0,0,162.9,1,1
71,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,0
72,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,0
73,2,0,0,4,Meal Plan 1,0,Room_Type 1,57,2018,4,26,Offline,0,0,0,85.5,1,0
74,2,1,0,1,Meal Plan 1,0,Room_Type 1,3,2017,8,20,Online,1,0,1,106,3,0
75,2,2,1,2,Meal Plan 1,0,Room_Type 6,3,2018,11,18,Online,0,0,0,178.67,2,0
76,2,2,0,1,Meal Plan 1,0,Room_Type 6,2,2017,8,26,Online,0,0,0,156,2,0
77,1,0,0,1,Meal Plan 1,1,Room_Type 1,2,2018,3,9,Corporate,0,0,0,79,0,0
78,2,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,3,5,Offline,0,0,0,60,0,0
79,2,0,2,1,Meal Plan 1,0,Room_Type 1,21,2017,12,27,Online,0,0,0,103.67,0,0
80,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,0
81,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,4,22,Online,0,0,0,67.76,1,0
82,2,0,1,4,Meal Plan 1,0,Room_Type 4,29,2018,5,9,Online,0,0,0,143.52,1,0
83,2,0,0,2,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,100,0,0
84,2,0,1,3,Meal Plan 1,0,Room_Type 1,223,2018,10,3,Online,0,0,0,102.85,0,1
85,2,0,1,2,Meal Plan 1,0,Room_Type 1,32,2018,2,26,Offline,0,0,0,62,2,0
86,3,0,1,3,Meal Plan 1,0,Room_Type 4,153,2018,7,21,Online,0,0,0,134.3,2,1
87,3,0,1,3,Meal Plan 1,0,Room_Type 4,63,2018,9,1,Online,0,0,0,142.2,2,0
88,2,0,2,4,Not Selected,0,Room_Type 1,228,2018,8,27,Online,0,0,0,80.75,0,1
89,2,0,1,3,Meal Plan 1,0,Room_Type 4,15,2018,12,5,Online,1,0,2,96.9,0,0
90,2,0,1,3,Meal Plan 1,0,Room_Type 6,5,2017,8,31,Online,0,0,0,155.25,1,0
91,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2017,12,31,Online,0,0,0,127,2,0
92,2,0,1,1,Meal Plan 1,0,Room_Type 1,78,2018,7,18,Online,0,0,0,105.3,0,1
93,2,0,0,3,Meal Plan 1,0,Room_Type 1,27,2018,5,10,Online,0,0,0,141,0,1
94,2,0,1,3,Meal Plan 1,1,Room_Type 4,47,2018,2,29,Online,0,0,0,99.4,1,0
95,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Offline,0,0,0,144,0,1
96,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81,0,0
97,2,0,2,2,Meal Plan 1,0,Room_Type 1,99,2017,10,30,Online,0,0,0,65,0,1
98,2,0,0,4,Not Selected,0,Room_Type 1,29,2018,4,6,Offline,0,0,0,85,0,0
99,2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Offline,0,0,0,94.5,0,0
100,3,0,0,2,Meal Plan 1,0,Room_Type 4,100,2018,8,16,Online,0,0,0,152.1,1,0
101,1,0,2,1,Meal Plan 1,0,Room_Type 1,29,2018,3,5,Offline,0,0,0,86,1,0
102,2,0,0,3,Meal Plan 1,0,Room_Type 1,64,2018,7,26,Online,0,0,0,105.3,1,0
103,2,0,0,2,Meal Plan 1,0,Room_Type 1,145,2018,6,21,Online,0,0,0,116.55,1,1
104,2,0,0,2,Meal Plan 2,0,Room_Type 1,14,2018,7,28,Online,0,0,0,169,0,1
105,1,0,2,0,Not Selected,0,Room_Type 1,13,2018,9,11,Online,0,0,0,99,1,0
106,2,0,0,1,Meal Plan 1,0,Room_Type 1,107,2017,8,12,Online,0,0,0,76.5,0,0
107,1,0,1,2,Meal Plan 1,0,Room_Type 4,0,2017,9,21,Offline,0,0,0,75,0,0
108,2,0,1,3,Meal Plan 1,0,Room_Type 1,136,2018,3,24,Online,0,0,0,68.55,0,0
109,1,0,1,2,Meal Plan 1,0,Room_Type 4,21,2018,11,7,Online,0,0,0,210,1,0
110,2,0,0,3,Meal Plan 1,0,Room_Type 4,25,2017,9,22,Online,0,0,0,107.03,1,0
111,1,0,1,0,Meal Plan 1,0,Room_Type 1,26,2018,7,11,Corporate,1,1,8,65,0,0
112,2,0,0,3,Not Selected,1,Room_Type 1,42,2018,3,24,Online,0,0,0,115.8,1,0
113,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,2017,8,16,Online,0,0,0,90,0,0
114,2,0,0,4,Meal Plan 1,0,Room_Type 1,65,2017,10,14,Online,0,0,0,89.25,1,0
115,3,0,0,2,Meal Plan 1,0,Room_Type 4,5,2018,12,2,Online,0,0,0,166.5,2,0
116,3,0,0,3,Meal Plan 1,0,Room_Type 4,69,2018,7,27,Online,0,0,0,137.7,2,0
117,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130,0,1
118,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,2018,9,30,Online,0,0,0,132.3,1,0
119,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,2018,2,21,Offline,0,0,0,66,0,0
120,2,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,4,6,Offline,0,0,0,75,0,1
121,2,1,0,1,Meal Plan 1,0,Room_Type 1,9,2018,7,23,Online,0,0,0,169,0,1
122,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115,1,1
123,2,0,1,2,Meal Plan 1,0,Room_Type 1,278,2018,12,9,Online,0,0,0,78.3,3,0
124,2,1,1,2,Meal Plan 2,0,Room_Type 1,34,2018,8,8,Online,0,0,0,194.85,1,1
125,2,0,2,2,Meal Plan 1,0,Room_Type 1,69,2018,3,20,Offline,0,0,0,59.5,0,0
126,2,0,2,2,Not Selected,0,Room_Type 1,60,2018,12,2,Online,0,0,0,74.8,0,1
127,2,1,0,4,Meal Plan 1,0,Room_Type 4,37,2017,10,28,Offline,0,0,0,75,1,0
128,2,0,1,3,Meal Plan 1,0,Room_Type 1,39,2018,6,27,Online,0,0,0,113.4,0,1
129,2,2,2,3,Meal Plan 1,0,Room_Type 6,78,2018,12,3,Online,0,0,0,147.9,1,0
130,2,0,1,2,Meal Plan 1,0,Room_Type 1,290,2018,6,17,Offline,0,0,0,72,1,0
131,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,8,16,Online,0,0,0,184.5,2,0
132,2,0,0,3,Meal Plan 1,0,Room_Type 4,185,2018,11,15,Online,0,0,0,95.4,0,1
133,2,2,0,3,Meal Plan 1,0,Room_Type 6,24,2018,4,14,Online,0,0,0,207,2,0
134,2,0,1,5,Meal Plan 1,0,Room_Type 4,113,2018,7,5,Online,0,0,0,92.94,1,0
135,1,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,2,2,Offline,0,0,0,62.8,0,0
136,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130,0,1
137,2,0,2,3,Meal Plan 1,0,Room_Type 1,12,2018,12,3,Online,0,0,0,89.59,0,0
138,2,0,0,3,Meal Plan 1,0,Room_Type 1,86,2018,3,10,Offline,0,0,0,58,0,0
139,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,9,26,Offline,0,0,0,98.1,0,1
140,2,0,0,1,Meal Plan 1,0,Room_Type 1,27,2018,12,7,Online,0,0,0,104,2,0
141,2,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,10,14,Corporate,0,0,0,95,1,0
142,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Offline,0,0,0,120,0,1
143,2,0,2,5,Meal Plan 2,0,Room_Type 1,277,2018,9,5,Offline,0,0,0,89.14,1,0
144,1,0,1,4,Meal Plan 1,0,Room_Type 1,190,2018,6,22,Offline,0,0,0,95,0,0
145,2,0,1,0,Meal Plan 1,0,Room_Type 1,50,2018,3,28,Online,0,0,0,90.9,1,0
146,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,9,3,Online,0,0,0,106.88,0,1
147,3,0,2,3,Meal Plan 1,0,Room_Type 1,66,2017,12,31,Online,0,0,0,111.92,0,0
148,1,0,1,0,Meal Plan 1,0,Room_Type 1,86,2018,6,26,Corporate,1,0,5,65,0,0
149,2,0,0,2,Meal Plan 1,0,Room_Type 4,46,2018,4,1,Online,0,0,0,104.4,0,1
150,2,1,0,1,Meal Plan 1,0,Room_Type 1,11,2018,11,5,Online,0,0,0,150,1,1
151,2,0,1,3,Meal Plan 1,0,Room_Type 1,60,2017,10,12,Offline,0,0,0,65,1,0
152,2,0,0,1,Meal Plan 2,0,Room_Type 7,0,2018,11,29,Complementary,1,0,2,0,3,0
153,1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2017,10,21,Online,0,0,0,0,0,0
154,2,0,2,2,Meal Plan 1,0,Room_Type 1,8,2017,12,26,Offline,0,0,0,52,1,0
155,2,0,0,3,Meal Plan 1,0,Room_Type 1,4,2017,10,6,Offline,0,0,0,90,1,0
156,2,0,0,3,Meal Plan 1,0,Room_Type 1,76,2018,12,7,Offline,0,0,0,75,0,0
157,1,0,0,1,Not Selected,0,Room_Type 1,2,2018,9,15,Online,0,0,0,110.11,2,0
158,2,0,0,1,Meal Plan 1,0,Room_Type 1,348,2018,12,6,Offline,0,0,0,62.64,0,0
159,2,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,8,20,Online,0,0,0,130,3,0
160,2,0,1,3,Meal Plan 1,1,Room_Type 1,11,2018,11,14,Online,0,0,0,114,1,0
161,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,0
162,2,0,2,2,Meal Plan 1,0,Room_Type 1,4,2018,8,21,Online,0,0,0,140,0,1
163,3,0,2,5,Meal Plan 1,0,Room_Type 4,176,2018,8,14,Online,0,0,0,131.26,0,1
164,1,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,27,Online,0,0,0,119,1,0
165,2,0,1,4,Not Selected,0,Room_Type 1,41,2018,5,9,Online,0,0,0,116.1,1,1
166,2,0,0,4,Not Selected,0,Room_Type 1,18,2018,2,24,Online,0,0,0,79,1,1
167,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,10,25,Offline,0,0,0,85,0,0
168,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2017,7,30,Complementary,0,0,0,0,1,0
169,2,0,0,1,Not Selected,0,Room_Type 1,0,2018,8,18,Online,0,0,0,158,0,1
170,3,0,0,1,Meal Plan 1,0,Room_Type 4,36,2018,7,15,Online,0,0,0,168.3,1,0
171,1,0,0,1,Not Selected,0,Room_Type 1,5,2018,4,5,Online,0,0,0,89,0,0
172,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Offline,0,0,0,75,0,1
173,2,0,1,4,Meal Plan 1,0,Room_Type 1,148,2017,12,30,Offline,0,0,0,67,0,0
174,1,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Complementary,0,0,0,0,0,0
175,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2017,9,28,Corporate,0,0,0,65,0,0
176,2,0,0,4,Meal Plan 1,0,Room_Type 1,72,2018,4,12,Online,0,0,0,99.45,1,0
177,2,0,0,1,Not Selected,0,Room_Type 1,29,2018,2,4,Online,0,0,0,75,0,1
178,2,0,2,2,Meal Plan 1,0,Room_Type 1,70,2018,4,22,Online,0,0,0,97.33,0,0
179,2,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,6,18,Online,0,0,0,141,2,0
180,1,0,6,12,Meal Plan 1,0,Room_Type 1,1,2018,11,18,Online,0,0,0,77.44,1,1
181,2,0,1,3,Meal Plan 1,0,Room_Type 1,78,2018,3,24,Online,0,0,0,70.03,1,0
182,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90,0,0
183,0,2,1,3,Meal Plan 1,0,Room_Type 2,16,2018,1,18,Online,0,0,0,77.25,0,0
184,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,1,4,Corporate,1,0,4,66,0,0
185,1,0,0,2,Meal Plan 1,0,Room_Type 4,68,2018,4,26,Online,0,0,0,118.8,1,0
186,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Offline,0,0,0,115,0,1
187,1,0,1,2,Meal Plan 1,0,Room_Type 1,101,2018,4,4,Offline,0,0,0,70,0,1
188,1,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Offline,0,0,0,177.33,0,0
189,2,0,1,2,Meal Plan 1,0,Room_Type 1,237,2017,9,14,Online,0,0,0,89.25,0,1
190,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2018,3,25,Offline,0,0,0,65,0,1
191,2,0,2,2,Not Selected,0,Room_Type 1,87,2018,4,3,Online,0,0,0,72.25,0,1
192,1,0,1,3,Not Selected,0,Room_Type 1,56,2018,6,20,Online,0,0,0,80.19,0,1
193,2,0,1,3,Not Selected,0,Room_Type 1,161,2018,10,31,Offline,0,0,0,59.5,0,0
194,2,0,2,0,Meal Plan 1,0,Room_Type 1,48,2018,4,17,Online,0,0,0,100.8,2,0
195,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,1
196,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,0
197,2,0,2,2,Meal Plan 1,0,Room_Type 2,159,2018,6,12,Online,0,0,0,103.21,0,1
198,1,0,0,1,Meal Plan 1,0,Room_Type 1,11,2018,9,20,Online,0,0,0,139,1,0
199,1,0,1,1,Not Selected,0,Room_Type 1,1,2018,12,12,Online,0,0,0,87,1,0
200,2,0,1,4,Meal Plan 1,0,Room_Type 1,30,2017,10,5,Online,0,0,0,97.92,1,1
201,2,2,0,4,Meal Plan 1,0,Room_Type 6,108,2018,10,11,Online,0,0,0,199.8,0,1
202,2,0,2,5,Not Selected,0,Room_Type 1,2,2018,8,23,Online,0,0,0,86.28,0,0
203,2,0,0,2,Meal Plan 1,0,Room_Type 1,16,2018,2,26,Complementary,0,0,0,2,0,0
204,2,0,2,2,Meal Plan 1,0,Room_Type 1,138,2018,7,3,Online,0,0,0,97.33,1,1
205,2,0,1,2,Not Selected,0,Room_Type 1,17,2018,12,9,Online,0,0,0,92.67,0,0
206,2,1,2,2,Meal Plan 1,0,Room_Type 1,44,2018,4,29,Online,0,0,0,137.14,2,0
207,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,4,25,Offline,0,0,0,80.75,1,0
208,2,0,2,2,Not Selected,0,Room_Type 1,27,2018,9,17,Online,0,0,0,128.28,0,0
209,2,0,0,2,Meal Plan 1,0,Room_Type 4,64,2018,5,27,Online,0,0,0,140.4,0,1
210,2,0,0,3,Meal Plan 1,0,Room_Type 4,173,2018,10,25,Online,0,0,0,104.4,2,1
211,2,0,0,1,Meal Plan 1,0,Room_Type 4,55,2018,12,30,Online,0,0,0,131.4,1,0
212,2,0,0,3,Meal Plan 1,0,Room_Type 1,92,2017,11,26,Offline,0,0,0,49.07,1,0
213,1,0,0,3,Meal Plan 1,0,Room_Type 1,94,2018,9,22,Offline,0,0,0,85,0,1
214,1,0,1,3,Meal Plan 1,0,Room_Type 5,178,2018,8,22,Corporate,0,0,0,106,0,1
215,2,0,2,1,Meal Plan 1,0,Room_Type 4,15,2017,10,31,Online,0,0,0,117,1,0
216,2,0,1,3,Not Selected,0,Room_Type 1,21,2018,8,1,Online,0,0,0,138,0,1
217,2,0,1,1,Meal Plan 1,0,Room_Type 1,0,2018,11,7,Corporate,1,0,1,75,0,0
218,2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Offline,0,0,0,107,0,1
219,1,0,1,1,Meal Plan 1,0,Room_Type 1,32,2017,10,24,Online,0,0,0,120,1,0
220,2,0,0,2,Not Selected,0,Room_Type 1,72,2018,11,18,Online,0,0,0,79.2,1,1
221,2,0,0,2,Not Selected,1,Room_Type 1,5,2017,12,24,Online,0,0,0,72.75,1,0
222,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,106,0,1
223,2,0,1,3,Meal Plan 1,0,Room_Type 1,83,2018,7,14,Online,0,0,0,105.3,2,0
224,2,0,2,0,Not Selected,0,Room_Type 1,20,2018,12,18,Online,0,0,0,97,1,0
225,2,0,0,4,Not Selected,0,Room_Type 1,96,2018,7,6,Online,0,0,0,103.5,0,0
226,2,0,1,2,Meal Plan 1,0,Room_Type 1,14,2017,9,21,Online,0,0,0,124,0,0
227,2,0,0,1,Meal Plan 1,0,Room_Type 1,76,2018,11,22,Online,0,0,0,93.6,1,0
228,2,0,1,2,Meal Plan 1,0,Room_Type 1,4,2017,10,19,Offline,0,0,0,100.8,1,0
229,2,0,0,2,Not Selected,0,Room_Type 1,98,2018,10,26,Online,0,0,0,80.1,0,1
230,2,0,1,4,Not Selected,0,Room_Type 1,44,2018,11,16,Online,0,0,0,74.8,1,0
231,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2018,3,25,Offline,0,0,0,65,0,1
232,1,0,0,1,Meal Plan 1,0,Room_Type 1,11,2017,9,11,Online,0,0,0,95,2,0
233,2,0,0,2,Not Selected,0,Room_Type 1,66,2018,9,2,Online,0,0,0,87.3,2,0
234,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,3,24,Online,0,0,0,146,1,0
235,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,0
236,1,0,1,0,Meal Plan 1,0,Room_Type 1,14,2018,10,3,Corporate,0,0,0,95,0,0
237,1,0,0,2,Meal Plan 1,0,Room_Type 1,6,2018,11,22,Corporate,0,0,0,79,1,0
238,2,0,2,1,Not Selected,0,Room_Type 1,33,2018,7,23,Online,0,0,0,125.1,1,0
239,2,0,2,2,Meal Plan 1,0,Room_Type 1,84,2018,4,8,Online,0,0,0,90.95,0,1
240,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,12,21,Corporate,1,0,3,75,0,0
241,2,0,2,2,Not Selected,0,Room_Type 1,10,2018,12,23,Online,0,0,0,74.8,1,0
242,2,0,2,3,Meal Plan 1,0,Room_Type 1,63,2018,6,26,Online,0,0,0,110.7,1,0
243,2,2,2,3,Meal Plan 2,0,Room_Type 6,48,2017,10,25,Offline,0,0,0,186.52,0,0
244,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,11,28,Corporate,0,0,0,77,0,0
245,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,0
246,2,0,2,1,Not Selected,0,Room_Type 1,65,2018,11,19,Online,0,0,0,82.13,1,1
247,2,0,1,0,Not Selected,0,Room_Type 1,21,2018,9,12,Online,0,0,0,89,2,0
248,3,0,1,3,Meal Plan 1,0,Room_Type 4,99,2018,12,26,Online,0,0,0,127.71,3,0
249,2,0,0,2,Meal Plan 1,0,Room_Type 2,124,2018,6,30,Online,0,0,0,88.76,1,0
250,2,1,2,5,Meal Plan 1,0,Room_Type 4,31,2018,1,30,Offline,0,0,0,84.03,3,0
251,2,0,2,3,Not Selected,0,Room_Type 1,39,2018,1,1,Online,0,0,0,60.97,0,0
252,2,0,0,4,Meal Plan 2,0,Room_Type 1,296,2018,9,21,Offline,0,0,0,117,1,1
253,2,0,1,0,Meal Plan 1,0,Room_Type 2,6,2017,12,20,Online,0,0,0,77.25,0,0
